Id,MS SubClass,Lot Area,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Total Bsmt SF,Gr Liv Area,Bedroom AbvGr,Kitchen AbvGr,TotRms AbvGrd,Enclosed Porch,Screen Porch,Garage Area,Mas Vnr Area,Neighborhood_BrDale,Neighborhood_BrkSide,Neighborhood_Crawfor,Neighborhood_Edwards,Neighborhood_Gilbert,Neighborhood_Greens,Neighborhood_IDOTRR,Neighborhood_Mitchel,Neighborhood_NAmes,Neighborhood_NPkVill,Neighborhood_NWAmes,Neighborhood_NoRidge,Neighborhood_NridgHt,Neighborhood_OldTown,Neighborhood_SawyerW,Neighborhood_Somerst,Neighborhood_StoneBr,Kitchen Qual_Fa,Kitchen Qual_Gd,Kitchen Qual_TA,Exter Qual_Fa,Exter Qual_Gd,Exter Qual_TA,Bsmt Exposure_Gd,Bsmt Exposure_Mn,Bsmt Exposure_No
2339,190,34650,5,5,1955,1955,1056.0,1056,3,1,5,0,0,572.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
624,20,10573,6,6,1961,1961,1453.0,1453,3,1,6,0,288,530.0,3.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
1534,50,11700,5,6,1937,1995,942.0,1938,4,1,7,0,0,240.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
2243,190,8250,5,6,1895,2006,957.0,1991,4,2,9,133,0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
1957,50,8064,5,7,1949,2006,672.0,924,3,1,6,0,0,576.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
380,20,9600,8,5,1981,1981,2524.0,2524,4,1,9,0,0,542.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
2860,70,11435,8,7,1929,1950,792.0,1517,3,1,7,0,0,400.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
1933,20,10950,6,6,1952,1952,948.0,948,2,1,5,0,0,410.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
820,20,10637,8,5,2007,2008,1705.0,1718,3,1,7,0,0,826.0,336.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
675,20,9000,6,6,1958,1958,160.0,1142,2,1,5,64,0,384.0,82.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
2910,160,2665,5,6,1977,1977,757.0,1475,4,1,6,0,0,336.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
21,20,11751,6,6,1977,1977,1844.0,1844,3,1,7,0,0,546.0,480.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
1873,20,9600,7,6,1973,1973,1242.0,1242,3,1,6,0,0,528.0,320.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
2125,20,8428,5,7,1994,1994,990.0,990,3,1,5,0,0,384.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
1489,20,9937,5,6,1965,1965,1256.0,1256,3,1,6,0,0,276.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
2383,20,13891,10,5,2006,2006,2076.0,2076,2,1,7,0,0,850.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
983,85,9101,5,6,1978,1978,1097.0,1110,1,1,4,0,0,602.0,104.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
1325,50,12150,5,5,1954,1954,1050.0,1795,4,1,7,0,0,352.0,335.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1
1537,70,9670,8,6,1935,1950,608.0,1873,4,1,9,207,0,786.0,40.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
905,50,10998,5,5,1941,1960,984.0,1604,3,1,6,0,0,660.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
1532,70,7200,7,6,1931,2000,776.0,1502,3,1,6,112,0,270.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
132,20,9920,5,5,1954,1954,1056.0,1063,3,1,6,164,0,280.0,110.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
1078,160,2448,7,5,2003,2004,764.0,1626,2,1,6,0,0,474.0,106.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1
2511,160,2998,6,5,2000,2000,756.0,1524,2,1,4,0,0,440.0,513.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1
2351,60,16692,7,5,1978,1978,1392.0,2784,5,1,12,0,440,564.0,184.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
330,160,1476,4,7,1970,1970,546.0,1092,3,1,5,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
2586,20,10170,6,6,1951,1951,216.0,1575,2,1,5,0,0,400.0,522.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
98,160,2544,7,5,2004,2005,600.0,1200,2,1,4,0,0,480.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1
2565,20,9888,5,6,1954,1975,936.0,936,2,1,5,160,0,240.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
1934,20,7942,6,7,1953,1953,1040.0,1040,3,1,6,0,0,293.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
997,60,15038,6,5,1996,1996,916.0,1636,3,1,7,0,0,386.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
64,60,11764,8,7,1999,2007,1152.0,2270,4,1,9,0,0,671.0,348.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1
1799,60,9000,8,5,2007,2007,1184.0,2610,4,1,11,0,0,550.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
230,20,20062,7,7,1977,2001,1420.0,1483,1,1,4,0,0,690.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
1295,50,7308,5,5,1920,1950,936.0,1740,2,1,6,236,0,225.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
638,20,8750,5,5,1955,1955,1382.0,1382,3,1,6,0,0,350.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
2278,20,8402,5,5,2007,2007,1120.0,1120,3,1,6,0,0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
2202,70,4000,7,8,1930,1995,531.0,1098,2,1,5,0,0,216.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
2833,160,3363,7,5,2004,2004,976.0,1708,3,1,7,0,0,380.0,117.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
1707,20,13615,9,5,2006,2006,1802.0,1802,3,1,7,0,0,843.0,510.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
2428,120,3013,7,5,2005,2005,1362.0,1506,2,1,6,0,0,440.0,145.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
242,20,17485,7,5,2009,2010,1508.0,1508,1,1,5,0,0,572.0,96.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
1564,20,23730,7,5,1996,1997,1840.0,2032,3,1,7,192,0,786.0,668.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
2613,20,8910,6,6,1959,1959,655.0,1194,3,1,6,192,0,539.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
2832,160,2522,7,5,2004,2004,970.0,1709,3,1,7,0,0,380.0,50.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
2459,20,8688,7,5,2005,2005,1616.0,1616,3,1,7,0,0,834.0,228.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
1360,30,6291,6,6,1930,1950,768.0,768,1,1,4,84,0,440.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
1350,30,6324,4,6,1927,1950,520.0,520,1,1,4,87,0,240.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
136,90,11600,5,5,1960,1960,1105.0,2274,5,2,12,0,0,480.0,361.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
2235,50,7288,5,7,1925,2003,936.0,1601,3,1,6,0,0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
1993,70,4571,5,7,1910,1950,616.0,1232,3,1,6,143,0,480.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1
367,20,17423,9,5,2008,2009,2216.0,2234,1,1,9,0,0,1166.0,748.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1309,50,12665,5,8,1915,1950,876.0,1416,4,1,7,194,0,720.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0
402,20,9000,4,7,1971,2006,864.0,864,3,1,5,0,0,576.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
1592,120,4500,6,5,1997,1997,1189.0,1189,2,1,4,0,0,392.0,197.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
2409,120,6373,9,5,2006,2006,1666.0,1666,2,1,6,0,0,575.0,572.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
539,20,10083,7,5,2003,2003,1176.0,1200,2,1,5,0,0,555.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1
1940,20,13300,5,7,1956,2000,928.0,928,2,1,4,156,0,252.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
588,20,9600,5,5,1969,1969,1288.0,1336,3,1,6,0,0,502.0,128.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
96,160,3215,7,5,2004,2004,600.0,1200,2,1,4,0,0,480.0,120.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
1187,80,11104,6,6,1969,1969,1427.0,1427,4,1,7,0,216,516.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
2154,60,15295,7,5,1996,2002,860.0,1992,3,1,7,0,0,608.0,254.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
550,60,9109,7,5,1994,1994,754.0,1540,3,1,6,0,0,495.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1
811,90,7018,5,5,1979,1979,0.0,1535,4,2,8,0,0,400.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
124,80,14112,5,7,1964,1964,1152.0,1152,3,1,6,0,0,484.0,86.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
1836,120,3523,8,5,2006,2007,1141.0,1151,2,1,5,0,0,484.0,30.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1
1886,20,7450,5,5,1956,1956,894.0,1074,2,1,6,0,0,396.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
1724,120,7313,9,5,2005,2005,1561.0,1561,2,1,6,0,0,556.0,246.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2450,60,10019,8,5,1995,1995,1342.0,2726,4,1,9,168,0,725.0,397.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1
1013,20,15401,9,5,2004,2004,1884.0,1884,2,1,7,0,0,670.0,296.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
2084,30,9098,4,7,1920,2002,528.0,605,2,1,5,144,0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
728,30,9392,3,3,1900,1950,245.0,797,2,1,5,94,0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
950,60,12209,6,5,2001,2002,804.0,1961,3,1,7,0,0,560.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
2524,190,13110,5,6,1972,1972,1153.0,1193,2,1,6,0,0,501.0,144.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
2513,160,2651,7,5,2000,2000,673.0,1382,3,1,6,0,0,490.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1
2028,50,8520,6,7,1916,1950,714.0,2526,5,1,10,0,0,216.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1
2309,20,39384,6,6,1957,1957,1705.0,1390,1,1,4,0,0,550.0,902.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
51,160,2628,7,5,2003,2003,764.0,1626,2,1,6,0,0,474.0,106.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1
699,70,6406,5,6,1939,1950,690.0,1558,3,1,7,0,182,400.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1
1881,20,12342,5,5,1960,1978,978.0,1422,3,1,6,36,0,286.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
1345,50,6240,5,7,1930,1992,1078.0,1573,3,1,8,0,0,360.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
166,20,10000,6,6,1962,1962,1116.0,1116,3,1,5,0,385,440.0,261.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
379,20,11088,6,5,1978,1998,1140.0,1707,3,1,7,0,0,479.0,144.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
2818,20,17755,5,4,1959,1959,1466.0,1466,3,1,6,0,100,528.0,132.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
1168,120,4765,9,5,2000,2000,1614.0,1638,2,1,5,0,0,495.0,260.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1396,190,10532,5,3,1960,1960,988.0,1721,3,1,7,0,0,626.0,275.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
838,60,15426,6,5,1997,1997,928.0,1764,3,1,7,0,0,470.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
1492,30,13907,5,6,1940,1969,996.0,996,3,1,6,0,0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
637,20,8750,5,5,1956,1956,1202.0,1202,3,1,6,120,0,304.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
173,30,8960,5,6,1927,1950,1008.0,1028,2,1,5,130,0,360.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1
715,50,3500,5,7,1947,1950,720.0,1284,2,1,5,0,0,240.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1
2433,60,9056,8,5,2004,2004,707.0,1414,3,1,6,0,0,403.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
2866,70,12320,7,7,1932,1990,637.0,1609,3,1,8,0,104,579.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
2311,60,8238,6,5,1997,1998,813.0,1525,3,1,6,0,0,400.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
1551,80,6000,5,5,1967,1967,624.0,1656,3,1,7,0,100,288.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
1049,120,2529,7,6,1977,1977,1055.0,1055,2,1,4,0,0,440.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
657,60,10800,5,7,1939,2006,676.0,1352,4,1,7,128,0,720.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1
414,160,2349,6,5,1977,1977,855.0,1456,3,1,6,0,0,440.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
1514,30,5604,5,6,1925,1950,864.0,864,2,1,5,96,0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
1040,160,1680,6,5,1973,1973,483.0,987,2,1,5,0,0,264.0,359.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
1720,120,4590,8,5,2006,2006,1554.0,1554,2,1,6,0,0,627.0,108.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0
2331,60,18062,10,5,2006,2006,1528.0,3390,5,1,10,0,0,758.0,662.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
204,70,12900,6,8,1912,2009,780.0,1560,3,1,7,0,168,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1
19,20,19138,4,5,1951,1951,864.0,864,2,1,4,0,0,400.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
2438,60,8658,6,5,2000,2000,982.0,1889,3,1,9,0,0,431.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
240,20,9525,5,7,1954,1998,1172.0,1172,3,1,5,0,0,366.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
105,20,12853,8,5,2010,2010,1642.0,1418,1,1,6,0,0,852.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1
2020,50,6240,6,6,1931,1950,884.0,1367,3,1,6,0,120,560.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
888,85,7301,7,5,2003,2003,0.0,1922,4,1,7,177,0,672.0,500.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1019,20,12090,6,6,1981,1981,1422.0,1422,3,1,7,0,0,576.0,210.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
2132,60,8826,7,5,2000,2000,985.0,1842,3,1,7,0,0,486.0,144.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
203,50,8094,4,5,1915,1950,888.0,1962,4,1,9,364,0,572.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1
420,20,10710,5,7,1966,2004,864.0,1120,3,1,5,0,0,656.0,165.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
2333,60,16056,9,5,2005,2006,1992.0,2868,4,1,11,0,0,716.0,208.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
632,20,8400,6,3,1957,1957,1478.0,1478,3,1,6,0,216,442.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
2800,60,11250,7,5,1995,1996,930.0,1995,4,1,8,0,0,610.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1885,20,7535,5,7,1958,1985,912.0,912,2,1,5,0,0,297.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
